" name @AC"," person @AC"," birthYear @AC"," deathYear @AC"," name @SM"," person @SM","BirthYear@SM","DeathYear@SM","Confidence"
"James David Smillie","http://collection.cartermuseum.org/id/person-institution/james-david-smillie","1833","1909","J. D. Smillie","http://collection.americanart.si.edu/id/person-institution/4489","1833","1909","54"
"Jacob Eicholtz","http://collection.cartermuseum.org/id/person-institution/jacob-eicholtz","1776","1842","Jacob Eicholtz","http://collection.americanart.si.edu/id/person-institution/1424","1776","1842","100"
"Jacob Eicholtz","http://collection.cartermuseum.org/id/person-institution/jacob-eicholtz","1776","1842","Jacob Eicholz","http://collection.americanart.si.edu/id/person-institution/1424","1776","1842","100"
"James McNeill Whistler","http://collection.cartermuseum.org/id/person-institution/james-mcneill-whistler","1834","1903","James Abbott McNeill Whistler","http://collection.americanart.si.edu/id/person-institution/5349","1834","1903","79"
"James David Smillie","http://collection.cartermuseum.org/id/person-institution/james-david-smillie","1833","1909","James David Smillie","http://collection.americanart.si.edu/id/person-institution/4489","1833","1909","100"
"Jasper Francis Cropsey","http://collection.cartermuseum.org/id/person-institution/jasper-francis-cropsey","1823","1900","Jasper F. Cropsey","http://collection.americanart.si.edu/id/person-institution/1052","1823","1900","75"
"John Frederick Kensett","http://collection.cartermuseum.org/id/person-institution/john-frederick-kensett","1816","1872","John F. Kensett","http://collection.americanart.si.edu/id/person-institution/2599","1816","1872","62"
"John Frederick Peto","http://collection.cartermuseum.org/id/person-institution/john-frederick-peto","1854","1907","John Frederick Peto","http://collection.americanart.si.edu/id/person-institution/3779","1854","1907","100"
"John Quincy Adams Ward","http://collection.cartermuseum.org/id/person-institution/john-quincy-adams-ward","1830","1910","John Q. A. Ward","http://collection.americanart.si.edu/id/person-institution/5230","1830","1910","55"
"John Singer Sargent","http://collection.cartermuseum.org/id/person-institution/john-singer-sargent","1856","1925","John S. Sargent","http://collection.americanart.si.edu/id/person-institution/4253","1856","1925","76"
"John William Hill","http://collection.cartermuseum.org/id/person-institution/john-william-hill","1812","1879","John W. Hill","http://collection.americanart.si.edu/id/person-institution/28096","1812","1879","63"
"John William Hill","http://collection.cartermuseum.org/id/person-institution/john-william-hill","1812","1879","John William Hill","http://collection.americanart.si.edu/id/person-institution/28096","1812","1879","100"
"John Xceron","http://collection.cartermuseum.org/id/person-institution/john-xceron","1890","1967","John Xceron","http://collection.americanart.si.edu/id/person-institution/5505","1890","1967","100"
"Karl Struss","http://collection.cartermuseum.org/id/person-institution/karl-struss","1886","1981","Karl Fischer Struss","http://collection.americanart.si.edu/id/person-institution/6753","1886","1981","54"
"Lewis Hine","http://collection.cartermuseum.org/id/person-institution/lewis-hine","1874","1940","Lewis Hine","http://collection.americanart.si.edu/id/person-institution/2232","1874","1940","100"
"Lewis Hine","http://collection.cartermuseum.org/id/person-institution/lewis-hine","1874","1940","Lewis Wickes Hine","http://collection.americanart.si.edu/id/person-institution/2232","1874","1940","55"
"Marion Post Wolcott","http://collection.cartermuseum.org/id/person-institution/marion-post-wolcott","1910","1990","Marion Post","http://collection.americanart.si.edu/id/person-institution/18332","1910","1990","54"
"Martin Johnson Heade","http://collection.cartermuseum.org/id/person-institution/martin-johnson-heade","1819","1904","Martin J. Heade","http://collection.americanart.si.edu/id/person-institution/28788","1819","1904","71"
"Morton Livingston Schamberg","http://collection.cartermuseum.org/id/person-institution/morton-livingston-schamberg","1881","1918","Morton Livingston Schamberg","http://collection.americanart.si.edu/id/person-institution/4286","1881","1918","100"
"Morton Livingston Schamberg","http://collection.cartermuseum.org/id/person-institution/morton-livingston-schamberg","1881","1918","Morton Schamberg","http://collection.americanart.si.edu/id/person-institution/4286","1881","1918","56"
"Oscar Bluemner","http://collection.cartermuseum.org/id/person-institution/oscar-bluemner","1867","1938","Oscar Florianus Bluemner","http://collection.americanart.si.edu/id/person-institution/27826","1867","1938","54"
"Oscar Bluemner","http://collection.cartermuseum.org/id/person-institution/oscar-bluemner","1867","1938","Oscar Julius Bluemner","http://collection.americanart.si.edu/id/person-institution/27826","1867","1938","66"
"Paul Wayland Bartlett","http://collection.cartermuseum.org/id/person-institution/paul-wayland-bartlett","1865","1925","Paul W. Bartlett","http://collection.americanart.si.edu/id/person-institution/266","1865","1925","73"
"Robert Seldon Duncanson","http://collection.cartermuseum.org/id/person-institution/robert-seldon-duncanson","1821","1872","Robert Duncanson","http://collection.americanart.si.edu/id/person-institution/1353","1821","1872","70"
"Robert Seldon Duncanson","http://collection.cartermuseum.org/id/person-institution/robert-seldon-duncanson","1821","1872","Robert Scott Duncanson","http://collection.americanart.si.edu/id/person-institution/1353","1821","1872","83"
"Sanford Robinson Gifford","http://collection.cartermuseum.org/id/person-institution/sanford-robinson-gifford","1823","1880","Sanford Gifford","http://collection.americanart.si.edu/id/person-institution/1800","1823","1880","60"
"Sanford Robinson Gifford","http://collection.cartermuseum.org/id/person-institution/sanford-robinson-gifford","1823","1880","Sanford R. Gifford","http://collection.americanart.si.edu/id/person-institution/1800","1823","1880","72"
"Severin Roesen","http://collection.cartermuseum.org/id/person-institution/severin-roesen","1816","","Severin R�_sen","http://collection.americanart.si.edu/id/person-institution/4094","1815","","73"
"Solon Borglum","http://collection.cartermuseum.org/id/person-institution/solon-borglum","1868","1922","Solon Borglum","http://collection.americanart.si.edu/id/person-institution/509","1868","1922","100"
"Solon Borglum","http://collection.cartermuseum.org/id/person-institution/solon-borglum","1868","1922","Solon Hannibal Borglum","http://collection.americanart.si.edu/id/person-institution/509","1868","1922","55"
"Timothy H. O'Sullivan","http://collection.cartermuseum.org/id/person-institution/timothy-h.-osullivan","1840","1882","T. H. O'Sullivan","http://collection.americanart.si.edu/id/person-institution/3600","1840","1882","73"
"Timothy H. O'Sullivan","http://collection.cartermuseum.org/id/person-institution/timothy-h.-osullivan","1840","1882","Timothy O'Sullivan","http://collection.americanart.si.edu/id/person-institution/3600","1840","1882","93"
"Wells Moses Sawyer","http://collection.cartermuseum.org/id/person-institution/wells-moses-sawyer","1863","1961","Wells Moses Sawyer","http://collection.americanart.si.edu/id/person-institution/4279","1863","1960","80"
"Willard LeRoy Metcalf","http://collection.cartermuseum.org/id/person-institution/willard-leroy-metcalf","1858","1925","Willard Leroy Metcalf","http://collection.americanart.si.edu/id/person-institution/3295","1858","1925","100"
"Willard LeRoy Metcalf","http://collection.cartermuseum.org/id/person-institution/willard-leroy-metcalf","1858","1925","Willard Metcalf","http://collection.americanart.si.edu/id/person-institution/3295","1858","1925","73"
"William Henry Jackson","http://collection.cartermuseum.org/id/person-institution/william-henry-jackson","1843","1942","William Henry Jackson","http://collection.americanart.si.edu/id/person-institution/2424","1843","1942","100"
"William Henry Johnson","http://collection.cartermuseum.org/id/person-institution/william-henry-johnson","1901","1970","William Henry Johnson","http://collection.americanart.si.edu/id/person-institution/2486","1901","1970","100"
"William Merritt Chase","http://collection.cartermuseum.org/id/person-institution/william-merritt-chase","1849","1916","William M. Chase","http://collection.americanart.si.edu/id/person-institution/840","1849","1916","73"
"William Tylee Ranney","http://collection.cartermuseum.org/id/person-institution/william-tylee-ranney","1813","1857","William Ranney","http://collection.americanart.si.edu/id/person-institution/6496","1813","1857","71"
"William Stanley Haseltine","http://collection.cartermuseum.org/id/person-institution/william-stanley-haseltine","1835","1900","William S. Haseltine","http://collection.americanart.si.edu/id/person-institution/2109","1835","1900","80"
"William Tylee Ranney","http://collection.cartermuseum.org/id/person-institution/william-tylee-ranney","1813","1857","William S. Ranney","http://collection.americanart.si.edu/id/person-institution/6496","1813","1857","78"
"William Trost Richards","http://collection.cartermuseum.org/id/person-institution/william-trost-richards","1833","1905","William T. Richards","http://collection.americanart.si.edu/id/person-institution/4034","1833","1905","88"
