Accession Number,Image File,Main Title,Parent Title,Object Type,Creator Name,Creator Birth Year,Creator Death Year,Creator Nationality,Creator Gender,Creator Role,Creator Birth Place,Creator Death Place,Additional Creator Name,Additional Creator Birth Year,Additional Creator Death Year,Additional Creator Nationality,Additional Creator Gender,Additional Creator Birth Location,Additional Creator Death Location,Additional Creator Role,Earliest Date Created,Latest Date Created,Display Date Created,Credit Line,Copyright,Medium,Subject Keywords,Object Link,Measurement Height,Measurement Width,Measurement Depth,Measurement Units,Measurement Extent,Related Object ID,Related Object Relationship Type,Related Object Note
1961.100,ACMAA_1961-100.tif,Christmas Dinner for the Men on the Trail,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1905,1905,1905,"Amon Carter Museum of American Art, Fort Worth, Texas",,Opaque and transparent watercolor over graphite underdrawing on paper,"Elk hunting, Cowboys, Christmas, snow, winter, Dead animals, Animal tracks",http://www.cartermuseum.org/artworks/2359,40.6,57.8,,cm,,,,
1961.101,ACMAA_1961-101.tif,Flintlock Days--When Guns Were Slow,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1925,1925,1925,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite underdrawing on paperboard,"flintlock rifles, hunters, trappers, mountain man, buffalo, American bison, hunting, guns",http://www.cartermuseum.org/artworks/2360,50.8,75.6,,cm,,,,
1961.102,ACMAA_1961-102.tif,Lone Wolf,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1900,1902,ca. 1901,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"wolf, bones, Wolves, Animals",http://www.cartermuseum.org/artworks/2361,14.6,22.9,13.7,cm,,,,
1961.103,ACMAA_1961-103.tif,Piegan Woman,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1902,1902,1902,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Piegan, Blackfoot, busts, women, portraits, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2362,16.5,11.8,8.9,cm,,,,
1961.104,ACMAA_1961-104.tif,Navajo,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1900,1905,ca. 1902,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Navajo, busts, Indians of North America, portraits, Native American, men",http://www.cartermuseum.org/artworks/2363,13,10.8,6.7,cm,,,,
1961.105,ACMAA_1961-105.tif,Sleeping Thunder,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1901,1901,1901,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Blackfoot, busts, men, Piegan, portraits, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2364,17.8,16.8,11.4,cm,,,,
1961.106,ACMAA_1961-106.tif,"Oh! Mother, What Is It?",,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1914,1914,1914,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Porcupines, Bears, baby animals",http://www.cartermuseum.org/artworks/2365,9.5,23.2,12,cm,,,,
1961.107,ACMAA_1961-107.tif,"To Noses That Read, a Smell That Spells Man",,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1920,1920,1920,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"wolf, Bottles, alcohol, Wolves, Animals",http://www.cartermuseum.org/artworks/2366,11.8,21,19.4,cm,,,,
1961.109,ACMAA_1961-109.tif,The Texas Steer,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1925,1925,1925,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"longhorn cattle, Texas, Animals",http://www.cartermuseum.org/artworks/2367,10.5,17.2,9.2,cm,,,,
1961.110,ACMAA_1961-110.tif,The Lunch Hour,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1910,1910,1910,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Grizzly bears, Animals, Eating & drinking",http://www.cartermuseum.org/artworks/2368,11.1,20,9.5,cm,,,,
1961.111,ACMAA_1961-111.tif,[Bear no. 1],,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1920,1925,ca. 1920-1925,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Bears, Animals",http://www.cartermuseum.org/artworks/2369,7.6,12.7,4.5,cm,,,,
1961.112,ACMAA_1961-112.tif,[Coyote],,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1900,1920,ca. 1900-1920,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Coyotes, Wolves, Animals",http://www.cartermuseum.org/artworks/2370,9.8,12.4,8.3,cm,,,,
1961.113,ACMAA_1961-113.tif,The Last Laugh,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1916,1916,1916,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"skulls, Wolves, Skeletons, bones, Death, Animals",http://www.cartermuseum.org/artworks/2371,12,20,14.3,cm,,,,
1961.114,ACMAA_1961-114.tif,Bear with the Jug,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1920,1925,ca. 1924,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Bears, Animals",http://www.cartermuseum.org/artworks/2372,13.3,8,9.8,cm,,,,
1961.115,ACMAA_1961-115.tif,[Bear no. 2],,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1920,1926,ca. 1925,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Bears, Animals",http://www.cartermuseum.org/artworks/2373,10.8,17.5,9.8,cm,,,,
1961.116,ACMAA_1961-116.tif,Counting Coup,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1905,1905,1905,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Fighting, Bloods, Sioux, Blackfoot, horses, warrior, battles, Indians of North America",http://www.cartermuseum.org/artworks/2374,28,45.1,31.8,cm,,,,
1961.117,ACMAA_1961-117.tif,The Snake Priest,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1914,1914,1914,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Hopi, Snakes, medicine man, Indians of North America, ceremonies, Native American",http://www.cartermuseum.org/artworks/2375,10.2,22.2,11.1,cm,,,,
1961.118,ACMAA_1961-118.tif,The Scalp Dancer,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1914,1914,1914,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"dance, Crow Culture, Indians of North America, ceremonies, Scalping, Scalps, ceremonies",http://www.cartermuseum.org/artworks/2376,14.9,20.3,14.6,cm,,,,
1961.119,ACMAA_1961-119.tif,Smoking with the Spirit of the Buffalo,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1914,1914,1914,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Skulls, Bison, Plains Indian, medicine man, Smoking, ashtrays, Indians of North America, ceremonies",http://www.cartermuseum.org/artworks/2377,11.4,22.5,14.3,cm,,,,
1961.12,ACMAA_1961-12.tif,The Stampede,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1909,1909,1909,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Cowboys, longhorn cattle, Texas, horses, stampedes, Animals, horseback riding",http://www.cartermuseum.org/artworks/2296,54.9,122.9,41.3,cm,,,,
1961.120,ACMAA_1961-120.tif,The Robe Flesher,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1925,1925,1925,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"buffalo robes, Blackfoot, Blackfeet, Native American, portraits, Indians of North America, women",http://www.cartermuseum.org/artworks/2378,12.4,11.8,8.9,cm,,,,
1961.121,ACMAA_1961-121.tif,Buffalo Hunt,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1905,1905,1905,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"American bison, buffalo, hunting, bow, arrows, horses, Blackfoot, Blackfeet, Indians of North America, Animals, horseback riding",http://www.cartermuseum.org/artworks/2379,25.4,48.3,32.4,cm,,,,
1961.122,ACMAA_1961-122.tif,Indian Family [Male],,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1915,1915,1915,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Gros Ventre, bookends, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2380,13,19.4,11.4,cm,,,,
1961.123,ACMAA_1961-123.tif,Indian Family [Woman and child],,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1915,1915,1915,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"mothers, Gros Ventre, cradleboards, Indians of North America, women, children, Native American",http://www.cartermuseum.org/artworks/2381,13,19.7,10.5,cm,,,,
1961.124,ACMAA_1961-124.tif,Radisson on the Lakes,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper mounted on cardboard,"canoes, Mississippi River, Pierre-Esprit Radisson, fur trade, exploration, trappers",http://www.cartermuseum.org/artworks/2382,36.2,58.4,,cm,,,,
1961.125,ACMAA_1961-125.tif,Indians Meet First Wagon Train West of Mississippi ,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper mounted on cardboard,"Skeletons, American bison, buffalo, Pioneers, Covered wagons, Indians of North America, Westward movement",http://www.cartermuseum.org/artworks/2383,38.7,55.9,,cm,,,,
1961.126,ACMAA_1961-126.tif,The Fort at Three Forks,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper,"fur trade, Piegan, forts, Montana, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2384,35.6,55.9,,cm,,,,
1961.127,ACMAA_1961-127.tif,Coronado Advancing Against a City of Cibola,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper,"conquistadors, New Mexico, Arizona, Francisco V·squez de Coronado, Indians of North America, explorers, Native American",http://www.cartermuseum.org/artworks/2385,37.8,59,,cm,,,,
1961.128,ACMAA_1961-128.tif,La VÈrendryes Discovers the Rocky Mountains,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper mounted on paper,"exploration, Plains Indian, Rocky Mountains, Wyoming, North Dakota, Pierre La Verendryes, explorers, Indians of North America",http://www.cartermuseum.org/artworks/2386,35.6,56.5,,cm,,,,
1961.129,ACMAA_1961-129.tif,Colter's Race for Life,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,"Ink, opaque watercolor, and graphite on paper","mountain man, explorers, Fighting, Blackfeet, Blackfoot, John Colter, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2387,35.6,56.5,,cm,,,,
1961.130,ACMAA_1961-130.tif,Attempted Massacre of Blackfeet Indians at Fort McKenzie,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper,"Blackfeet, Blackfoot, Fighting, Montana, Fort McKenzie, battles, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2388,36.8,59,,cm,,,,
1961.131,ACMAA_1961-131.tif,A Mandan Village,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1917,1926,ca. 1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper,"Mandan, Missouri River, horses, North Dakota, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2389,35.6,55.9,,cm,,,,
1961.132,ACMAA_1961-132.tif,When East Meets West,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1905,1910,ca. 1907,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor and graphite on paper,"Cowboys, women, children, Plains Indian, Indians of North America, street scenes, Native American",http://www.cartermuseum.org/custom/acm_display.php?irn=1408&QueryPage=%2Fcustom%2Findex.php,31.8,49.9,,cm,,,,
1961.137,ACMAA_1961-137.tif,[Indian man],,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1905,1910,ca. 1907,"Amon Carter Museum of American Art, Fort Worth, Texas",,Watercolor and graphite on paper,"Indians of North America, portraits, men, profiles, Native American",http://www.cartermuseum.org/artworks/2394,24.2,19.9,,cm,,,,
1961.139,ACMAA_1961-139.tif,A Doubtful Guest,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1896,1896,1896,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite on paper,"trappers, hunters, North American Indian, rifles, Montana, self-portraits, Charles M. Russell, artists, Deer hunting",http://www.cartermuseum.org/artworks/2395,47.6,57.8,,cm,,,,
1961.14,ACMAA_1961-14.tif,Trooper of the Plains 1868,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1909,1909,1909,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"horses, soldiers, Animals, horseback riding, military uniforms",http://www.cartermuseum.org/artworks/2297,66.7,73,23.5,cm,,,,
1961.140,ACMAA_1961-140.tif,[Indian woman],,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1898,1898,1898,"Amon Carter Museum of American Art, Fort Worth, Texas",,Watercolor and graphite on paper,"North American Indian, women, portraits",http://www.cartermuseum.org/artworks/2396,34.3,27.3,,cm,,,,
1961.141,ACMAA_1961-141.tif,Indian Family with Travois,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1897,1897,1897,"Amon Carter Museum of American Art, Fort Worth, Texas",,Watercolor and graphite on paper,"Blackfeet, women, travois, Indians of North America, women, dogs, children, infants",http://www.cartermuseum.org/artworks/27797,34.9,56.5,,cm,,,,
1961.142,ACMAA_1961-142.tif,A Piegan Flirtation,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1895,1900,ca. 1896,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor and graphite on paper,"Piegan, Indians of North America, Native American, Couples, love, Horses, Horseback riding, tipis",http://www.cartermuseum.org/artworks/2397,38.1,54,,cm,,,,
1961.143,ACMAA_1961-143.tif,The Picture Robe,,drawings,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1899,1899,1899,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and graphite on paper,"Blackfoot, hide painting, tipis, Indians of North America, buffalo robes, Hides & skins, Indians of North America, artists",http://www.cartermuseum.org/artworks/2398,27.3,37.2,,cm,,,,
1961.15,ACMAA_1961-15.tif,The Outlaw,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1906,1906,1906,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Cowboys, bronc busting, rodeos, horses, Animals, horseback riding",http://www.cartermuseum.org/artworks/2298,57.8,40,21,cm,,,,
1961.150,ACMAA_1961-150.tif,Sun Worship in Montana,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1907,1907,1907,"Amon Carter Museum of American Art, Fort Worth, Texas",,Opaque and transparent watercolor over graphite underdrawing on paper,"Blackfoot, women, children, infants, tipis, religion, Native American, Indians of North America",http://www.cartermuseum.org/artworks/2402,56.8,44.5,,cm,,,,
1961.151,ACMAA_1961-151.tif,The Wolfer's Camp,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1906,1906,1906,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite on paperboard,"Cowboys, Blackfoot, Christmas, winter, snow, Indians of North America, families, pronghorn, Native American",http://www.cartermuseum.org/artworks/2403,37.5,53,,cm,,,,
1961.152,ACMAA_1961-152.tif,Approach of the White Men,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1897,1897,1897,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite underdrawing on paper,"Indians of North America, Native American, group portraits, Westward movement",http://www.cartermuseum.org/artworks/2404,45.1,60,,cm,,,,
1961.153,ACMAA_1961-153.tif,Buffalo Hunt [No. 15],,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1896,1896,1896,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor and graphite on paper,"buffalo, Plains Indian, hunting, Indians of North America, Bison, horses",http://www.cartermuseum.org/artworks/2405,36.2,53.3,,cm,,,,
1961.154,ACMAA_1961-154.tif,Crees Meeting Traders,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1895,1900,ca. 1896,"Amon Carter Museum of American Art, Fort Worth, Texas",,"Watercolor, opaque watercolor, and graphite on paper","Cree, trading, Metis, Indians of North America, horses, Native American",http://www.cartermuseum.org/artworks/2406,41,59.7,,cm,,,,
1961.156,ACMAA_1961-156.tif,Indian on Horseback,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1907,1907,1907,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite underdrawing on paperboard,"Blackfoot, horses, warrior, Indians of North America",http://www.cartermuseum.org/artworks/2407,32.4,28,,cm,,,,
1961.16,ACMAA_1961-16.tif,The Wicked Pony,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1896,1898,1898,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Cowboys, bronc busting, rodeos, horses, Animals, horseback riding",http://www.cartermuseum.org/artworks/2299,55.9,53.4,22.5,cm,,,,
1961.163,ACMAA_1961-163.tif,Smoke Signal,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1896,1896,1896,"Amon Carter Museum of American Art, Fort Worth, Texas",,Watercolor and graphite on paper mounted on cardboard,"ornithology, whooping crane, Birds, Animals",http://www.cartermuseum.org/artworks/2410,36.2,53.3,,cm,,,,
1961.164,ACMAA_1961-164.tif,Indian Fight,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1898,1898,1898,"Amon Carter Museum of American Art, Fort Worth, Texas",,"Watercolor, opaque watercolor, and graphite on paper","Birds, Animals, ornithology, Hummingbirds, Crows",http://www.cartermuseum.org/artworks/2411,31.4,44.1,,cm,,,,
1961.165,ACMAA_1961-165.tif,Intercepted Wagon Train,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1898,1898,1898,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite underdrawing on paper,"Lakota, Cheyenne, tribal chiefs, headdresses, wagon trains, horses, Indians of North America, covered wagons, Native Americans",http://www.cartermuseum.org/artworks/2412,49.9,70.5,,cm,,,,
1961.166,ACMAA_1961-166.tif,Indian Sighting Buffalo,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1895,1900,ca. 1896,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor and graphite on paper,"buffalo, Bison hunting, Indians of North America, Native American",http://www.cartermuseum.org/artworks/2413,33.7,59.4,,cm,,,,
1961.167,ACMAA_1961-167.tif,Duel to the Death,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1890,1895,ca. 1891,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor and graphite on paper,"Fighting, Plains Indian, warrior, Indians of North America, battles, horses",http://www.cartermuseum.org/artworks/2414,53.3,43.2,,cm,,,,
1961.169,ACMAA_1961-169.tif,Indian Scouting Party,,watercolors,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1900,1900,1900,"Amon Carter Museum of American Art, Fort Worth, Texas",,Transparent and opaque watercolor over graphite underdrawing on paper,"Blackfeet, Indians of North America, horses, Native American, Horseback riding",http://www.cartermuseum.org/artworks/2415,71.4,30.5,,cm,,,,
